"","FIPS","county","state","rural","south","black35","white90","X1990","X2000","X2010","X2017","pctblack","pctwhite"
"161",5099,"Nevada County","AR",TRUE,TRUE,FALSE,FALSE,10101,9955,8997,8528,0.334427767354597,0.637546904315197
"162",5101,"Newton County","AR",TRUE,TRUE,FALSE,TRUE,7666,8608,8330,7898,0.000126614332742466,0.955305140541909
"163",5103,"Ouachita County","AR",TRUE,TRUE,TRUE,FALSE,30574,28790,26120,24378,0.409057346788088,0.572196242513742
"164",5105,"Perry County","AR",FALSE,TRUE,FALSE,TRUE,7969,10209,10445,10320,0.0231589147286822,0.934205426356589
"165",5107,"Phillips County","AR",TRUE,TRUE,TRUE,FALSE,28838,26445,21757,19518,0.627625781330054,0.362383440926324
"166",5109,"Pike County","AR",TRUE,TRUE,FALSE,FALSE,10086,11303,11291,10893,0.0279078307169742,0.894978426512439
"167",5111,"Poinsett County","AR",FALSE,TRUE,FALSE,FALSE,24664,25614,24583,24098,0.0560212465764794,0.887127562453316
"168",5113,"Polk County","AR",TRUE,TRUE,FALSE,TRUE,17347,20229,20662,20212,0.00504650702552939,0.917029487433208
"169",5115,"Pope County","AR",TRUE,TRUE,FALSE,TRUE,45883,54469,61754,63372,0.029413621157609,0.911538218771697
"170",5117,"Prairie County","AR",TRUE,TRUE,FALSE,FALSE,9518,9539,8715,8309,0.133830785894813,0.853050908653267
"171",5119,"Pulaski County","AR",FALSE,TRUE,TRUE,FALSE,349660,361474,382748,392848,0.360930945302,0.570920559605751
"172",5121,"Randolph County","AR",TRUE,TRUE,FALSE,TRUE,16558,18195,17969,17514,0.00942103460089072,0.962658444672833
"173",5123,"St. Francis County","AR",TRUE,TRUE,TRUE,FALSE,28497,29329,28258,26688,0.555530575539568,0.412769784172662
"174",5125,"Saline County","AR",FALSE,TRUE,FALSE,FALSE,64183,83529,107118,116252,0.0641365309844132,0.895838351168152
"175",5127,"Scott County","AR",TRUE,TRUE,FALSE,FALSE,10205,10996,11233,10584,0.00207860922146636,0.897486772486772
"176",5129,"Searcy County","AR",TRUE,TRUE,FALSE,TRUE,7841,8261,8195,7925,0.00189274447949527,0.944984227129337
"177",5131,"Sebastian County","AR",FALSE,TRUE,FALSE,FALSE,99590,115071,125744,127362,0.0675554718047769,0.777076365006831
"178",5133,"Sevier County","AR",TRUE,TRUE,FALSE,FALSE,13637,15757,17058,17206,0.048413344182262,0.643903289550157
"179",5135,"Sharp County","AR",TRUE,TRUE,FALSE,TRUE,14109,17119,17264,17041,0.00569215421630186,0.951704712164779
"180",5137,"Stone County","AR",TRUE,TRUE,FALSE,TRUE,9775,11499,12394,12443,0.000803664711082536,0.964879852125693
"181",5139,"Union County","AR",TRUE,TRUE,FALSE,FALSE,46719,45629,41639,40022,0.326995152666034,0.644845335065714
"182",5141,"Van Buren County","AR",TRUE,TRUE,FALSE,TRUE,14008,16192,17295,16751,0.00453704256462301,0.957077189421527
"183",5143,"Washington County","AR",FALSE,TRUE,FALSE,FALSE,113409,157715,203065,223683,0.0348573651104465,0.778369388822575
"184",5145,"White County","AR",TRUE,TRUE,FALSE,TRUE,54676,67165,77076,78706,0.0406576372830534,0.911137651513226
"185",5147,"Woodruff County","AR",TRUE,TRUE,FALSE,FALSE,9520,8741,7260,6763,0.274730149342008,0.69688008280349
"186",5149,"Yell County","AR",TRUE,TRUE,FALSE,FALSE,17759,21139,22185,21601,0.0242581361973983,0.808203323920189
"187",6001,"Alameda County","CA",FALSE,FALSE,FALSE,FALSE,1279182,1443741,1510271,1629615,0.110729221319146,0.426309281640142
"188",6003,"Alpine County","CA",TRUE,FALSE,FALSE,FALSE,1113,1208,1175,1203,0.0149625935162095,0.686616791354946
"189",6005,"Amador County","CA",TRUE,FALSE,FALSE,FALSE,30039,35100,38091,37306,0.0213370503404278,0.869913686806412
"190",6007,"Butte County","CA",FALSE,FALSE,FALSE,FALSE,182120,203171,220000,225207,0.0149728916063888,0.822447792475367
"191",6009,"Calaveras County","CA",TRUE,FALSE,FALSE,TRUE,31998,40554,45578,45057,0.0057926626273387,0.917859600062144
"192",6011,"Colusa County","CA",TRUE,FALSE,FALSE,FALSE,16275,18804,21419,21479,0.00921830625261884,0.882908887750826
"193",6013,"Contra Costa County","CA",FALSE,FALSE,FALSE,FALSE,803732,948816,1049025,1123678,0.0857407549137742,0.586083379758258
"194",6015,"Del Norte County","CA",TRUE,FALSE,FALSE,FALSE,23460,27507,28610,27442,0.0179651628890023,0.767910502149989
"195",6017,"El Dorado County","CA",FALSE,FALSE,FALSE,FALSE,125995,156299,181058,185015,0.00966948625787098,0.874961489608951
"196",6019,"Fresno County","CA",FALSE,FALSE,FALSE,FALSE,667490,799407,930450,971616,0.0491089072226065,0.635355943088628
"197",6021,"Glenn County","CA",TRUE,FALSE,FALSE,FALSE,24798,26453,28122,27935,0.00787542509396814,0.830177197064614
"198",6023,"Humboldt County","CA",TRUE,FALSE,FALSE,FALSE,119118,126518,134623,135490,0.0118754151597904,0.807041110045022
"199",6025,"Imperial County","CA",FALSE,FALSE,FALSE,FALSE,109303,142361,174528,179957,0.0265896853137138,0.651200008891013
"200",6027,"Inyo County","CA",TRUE,FALSE,FALSE,FALSE,18281,17945,18546,18195,0.00956306677658697,0.807089859851608
"201",6029,"Kern County","CA",FALSE,FALSE,FALSE,FALSE,543477,661645,839631,878744,0.0547121801116138,0.751295030179438
"202",6031,"Kings County","CA",FALSE,FALSE,FALSE,FALSE,101469,129461,152982,150183,0.0639020395117956,0.659974830706538
"203",6033,"Lake County","CA",TRUE,FALSE,FALSE,FALSE,50631,58309,64665,64095,0.0232935486387394,0.777611358140261
"204",6035,"Lassen County","CA",TRUE,FALSE,FALSE,FALSE,27598,33828,34895,31470,0.0873212583412774,0.813949793454083
"205",6037,"Los Angeles County","CA",FALSE,FALSE,FALSE,FALSE,8863164,9519338,9818605,10105722,0.0820308534115623,0.517809118438049
"206",6039,"Madera County","CA",FALSE,FALSE,FALSE,FALSE,88090,123109,150865,154440,0.031973581973582,0.766576016576017
"207",6041,"Marin County","CA",FALSE,FALSE,FALSE,FALSE,230096,247289,252409,260814,0.0220808698919537,0.781775518185373
"208",6043,"Mariposa County","CA",TRUE,FALSE,FALSE,FALSE,14302,17130,18251,17658,0.0121757843470382,0.889964888435836
"209",6045,"Mendocino County","CA",TRUE,FALSE,FALSE,FALSE,80345,86265,87841,87497,0.00708595723281941,0.827205504188715
